,restaurante,puntuacion
0,M.B,"4,3"
1,Pepe Vieira,"4,6"
2,Voro,"4,8"
3,Enoteca Paco Pérez,"4,4"
4,Maralba,"4,8"
5,El Portal de Echaurren,"4,6"
6,Casa Marcial,"4,7"
7,Cinc Sentits,"4,7"
8,Mugaritz,"3,8"
9,Iván Cerdeño,"4,8"
10,Moments,"4,5"
11,Venta Moncalvillo,"4,8"
12,L'Escaleta,"4,6"
13,Bo.TiC,"4,8"
14,Aramburu,"4,6"
15,Dewakan,"4,2"
16,Da Vittorio,"4,4"
17,8 ½ Otto e Mezzo Bombana,"4,4"
18,Madonnina del Pescatore,"4,8"
19,Casa Perbellini 12 Apostoli,"4,8"
20,daní maison,"4,7"
21,Caino,"4,5"
22,Duomo,"4,5"
23,La Rei Natura by Michelangelo Mammoliti,"4,3"
24,Verso Capitaneo,"4,7"
25,Gourmetstube Einhorn,"4,9"
26,Piccolo Lago,"4,6"
27,Seta by Antonio Guida,"4,6"
28,Andrea Aprea,"4,7"
29,Glam Enrico Bartolini,"4,7"
30,Harry's Piccolo,"4,3"
31,Agli Amici,"4,7"
32,Torre del Saracino,"4,8"
33,St. George by Heinz Beck,"4,9"
34,Villa Feltrinelli,"4,7"
35,Piazzetta Milù,"4,6"
36,George Restaurant,"4,8"
37,Terra The Magic Place,"4,9"
38,Magnolia,"4,8"
39,Krèsios,"4,7"
40,Taverna Estia,"4,7"
41,San Domenico,"4,8"
42,Arnolfo,"4,8"
43,Miramonti l'Altro,"4,7"
44,Tre Olivi,"4,6"
45,Locanda Sant'Uffizio Enrico Bartolini,"4,7"
46,Il Piccolo Principe,"4,6"
47,Il Pagliaccio,"4,3"
48,La Peca,"4,8"
49,Acquolina,"4,6"
50,D'O,"4,7"
51,L'Olivo,"4,3"
52,Antica Osteria Cera,"4,8"
53,Santa Elisabetta,"4,5"
54,Antica Corona Reale,"4,6"
55,TURK FATİH TUTAK,"4,8"
56,minibar,"4,8"
57,Pineapple and Pearls,"4,8"
58,odo,"4,6"
59,Blue Hill at Stone Barns,"4,7"
60,Saga,"4,4"
61,The Modern,"4,6"
62,Sushi Noz,"4,6"
63,Atomix,"4,8"
64,Daniel,"4,6"
65,Gabriel Kreuther,"4,6"
66,Jean-Georges,"4,5"
67,Atera,"4,7"
68,Aska,"4,6"
69,Aquavit,"4,6"
70,Jungsik,"4,7"
71,Oriole,"4,8"
72,Moody Tongue,"4,5"
73,Ever,"4,8"
74,Delta,"4,3"
75,Anne-Sophie Pic,"4,7"
76,roots,"4,7"
77,Mammertsberg,"4,8"
78,IGNIV Zürich by Andreas Caminada,"4,8"
79,Widder Restaurant,"4,7"
80,La Brezza,"5,0"
81,focus ATELIER,"4,9"
82,Taverne zum Schäfli,"4,9"
83,Ecco,"4,9"
84,Stucki - Tanja Grandits,"4,8"
85,Da Vittorio,"4,7"
86,La Table du Lausanne Palace,"4,9"
87,L'Atelier Robuchon,"4,6"
88,La Table du Valrose,"4,7"
89,Sushi Masaki Saito,"4,6"
90,logy,"4,4"
91,RAW,"4,4"
92,Hayato,"4,9"
93,Commis,"4,7"
94,n/naka,"4,8"
95,Acquerello,"4,6"
96,Birdsong,"4,8"
97,Sushi Ginza Onodera,"4,7"
98,Saison,"4,6"
99,Lazy Bear,"4,8"
100,Mélisse,"4,5"
101,Jiang by Chef Fei,"4,0"
102,Jaan by Kirk Westaway,"4,6"
103,Saint Pierre,"4,7"
104,Henne Kirkeby Kro,"4,7"
105,Alchemist,"4,9"
106,RE-NAA,"4,8"
107,Koan,"4,7"
108,AIRA,"4,7"
109,Vollmers,"4,7"
110,Palace,"4,8"
111,KOKS,"4,6"
112,Jordnær,"4,8"
113,Frederikshøj,"4,8"
114,Kadeau Copenhagen,"4,7"
115,Kong Hans Kælder,"4,7"
116,180° by Matthias Diether,"4,7"
117,Trèsind Studio,"4,8"
118,Il Ristorante-Niko Romito,"4,0"
119,STAY by Yannick Alléno,"4,6"
120,akordu,"4,4"
121,Oryori Hanagaki,"4,3"
122,Tsukumo,"4,7"
123,L'Atelier de Joël Robuchon Miami,"4,4"
124,Alain Ducasse at Morpheus,"4,2"
125,Lung King Heen,"4,4"
126,Bo Innovation,"4,3"
127,Tin Lung Heen,"4,5"
128,Feng Wei Ju,"4,6"
129,Amber,"4,5"
130,Lai Ching Heen,"4,5"
131,Ying Jee Club,"4,2"
132,De Nieuwe Winkel,"4,8"
133,De Kromme Watergang,"4,8"
134,Flore,"4,6"
135,Julemont,"4,9"
136,De Bokkedoorns,"4,8"
137,De Groene Lantaarn,"4,7"
138,De Lindenhof,"4,6"
139,'t Nonnetje,"4,7"
140,De Lindehof,"4,7"
141,De Treeswijkhoeve,"4,8"
142,Fred,"4,7"
143,Aan de Poel,"4,7"
144,Ciel Bleu,"4,7"
145,Restaurant 212,"4,6"
146,Spectrum,"4,7"
147,Vinkeles,"4,6"
148,Parkheuvel,"4,6"
149,Brut172,"4,8"
150,Gustav,"4,6"
151,Gourmetrestaurant Dichter,"4,9"
152,AUGUST,"4,6"
153,Hirschen,"4,8"
154,Lafleur,"4,7"
155,ammolite - The Lighthouse Restaurant,"4,8"
156,GästeHaus Klaus Erfort,"4,7"
157,Esplanade,"4,7"
158,Coeur D'Artichaut,"4,9"
159,Meierei Dirk Luther,"4,8"
160,OPUS V,"4,8"
161,Speisemeisterei,"4,7"
162,Vendôme,"4,7"
163,EssZimmer,"4,7"
164,Söl'ring Hof,"4,8"
165,Steinheuers Restaurant Zur Alten Post,"4,7"
166,LOUIS restaurant,"4,7"
167,Le Pavillon,"4,7"
168,Alois - Dallmayr Fine Dining,"4,6"
169,Essigbrätlein,"4,7"
170,Lakeside,"4,8"
171,Ophelia,"4,8"
172,Haerlin,"4,8"
173,etz,"4,8"
174,100/200 Kitchen,"4,5"
175,Jante,"4,6"
176,sein,"4,6"
177,Tantris,"4,7"
178,L.A. Jordan,"4,6"
179,Ox & Klee,"4,6"
180,bianc,"4,8"
181,Ösch Noir,"4,9"
182,Lorenz Adlon Esszimmer,"4,6"
183,Obendorfers Eisvogel,"4,9"
184,Le Cerf,"4,5"
185,FACIL,"4,8"
186,Horváth,"4,4"
187,Votum,"4,5"
188,Mühle,"4,9"
189,ES:SENZ,"4,9"
190,Courtier,"4,6"
191,CODA Dessert Dining,"4,7"
192,Tohru in der Schreiberei,"4,9"
193,Alex Dilling at Hotel Café Royal,"4,1"
194,Ynyshir,"4,8"
195,The Ledbury,"4,7"
196,Da Terra,"4,8"
197,A. Wong,"4,4"
198,"Le Manoir aux Quat' Saisons, a Belmond Hotel","4,8"
199,Hand and Flowers,"4,4"
200,Midsummer House,"4,7"
201,Restaurant Andrew Fairlie,"4,8"
202,Restaurant Sat Bains,"4,7"
203,Dinner by Heston Blumenthal,"4,6"
204,Patrick Guilbaud,"4,7"
205,Ikoyi,"4,5"
206,The Clove Club,"4,5"
207,Kitchen Table,"4,7"
208,Claude Bosi at Bibendum,"4,3"
209,Moor Hall,"4,8"
210,Liath,"4,8"
211,La Dame de Pic London,"4,6"
212,Story,"4,6"
213,Chapter One by Mickael Viljanen,"4,8"
214,La Villa Lorraine by Yves Mattagne,"4,6"
215,Colette - De Vijvers,"4,4"
216,La Durée,"4,7"
217,d'Eugénie à Emilie,"4,7"
218,Cuchara,"4,7"
219,The Jane,"4,6"
220,De Jonkman,"4,7"
221,Ma Langue Sourit,"4,8"
222,Nuance,"4,7"
223,Hertog Jan at Botanic,"4,7"
224,Le Chalet de la Forêt,"4,5"
225,L'Air du Temps,"4,8"
226,Slagmolen,"4,8"
227,La Paix,"4,5"
228,Castor,"4,9"
229,La Table de Maxime,"4,7"
230,Ralf Berendsen,"4,7"
231,Vrijmoed,"4,8"
232,Bozar Restaurant,"4,4"
233,L'Auberge de Montmin,"4,9"
234,Le Parc Les Crayères,"4,8"
235,La Table de Pavie,"4,8"
236,Paul Bocuse,"4,8"
237,La Chèvre d'Or,"5,0"
238,Takao Takano,"4,7"
239,Le Neuvième Art,"4,8"
240,Christopher Coutanceau,"4,7"
241,Maison Rostang,"4,4"
242,Cyril Attrazic,"4,7"
243,William Frachot,"4,6"
244,Mère Brazier,"4,7"
245,Relais de la Poste,"4,6"
246,Le Chabichou by Stéphane Buron,"4,4"
247,Le Coquillage,"4,7"
248,Christophe Hay - Fleur de Loire,"4,8"
249,Table - Bruno Verjus,"4,4"
250,La Table de Franck Putelat,"4,7"
251,Le Grand Restaurant - Jean-François Piège,"4,4"
252,Sur Mesure par Thierry Marx,"4,5"
253,Guy Savoy,"4,7"
254,Le Taillevent,"4,7"
255,Palais Royal Restaurant,"4,6"
256,Les Morainières,"4,8"
257,La Merise,"4,7"
258,L'Amaryllis,"4,9"
259,Marsan par Hélène Darroze,"4,2"
260,La Table d'Olivier Nasti,"4,7"
261,JY'S,"4,5"
262,Le Pressoir d'Argent - Gordon Ramsay,"4,7"
263,David Toutain,"4,6"
