Name,MinPrice,MaxPrice
Aqua,225,225
The Table Kevin Fehling,230,230
Restaurant Überfahrt Christian Jürgens,259,319
Victor's Fine Dining by christian bau,205,295
Rutz,198,245
Restaurant Bareiss,150,335
temporaire - Schwarzwaldstube,215,265
schanz. restaurant.,115,178
Waldhotel Sonnora,225,249
L'Enclume,79,175
Fat Duck,275,375
Waterside Inn,170,188
Restaurant Gordon Ramsay,120,220
Hélène Darroze at The Connaught,85,185
CORE by Clare Smyth,125,195
Sketch (The Lecture Room & Library),125,250
Alain Ducasse at The Dorchester,95,195
Amador,265,265
Xin Rong Ji (Xinyuan South Road),"1,000","2,000"
King's Joy,699,"1,399"
Jade Dragon,880,"2,000"
Robuchon au Dôme,988,"3,500"
The Eight,"2,800","3,000"
8 1/2 Otto e Mezzo - Bombana,700,"2,080"
T'ang Court,"1,400","1,830"
Sushi Shikon,"2,000","3,500"
Caprice,745,"2,600"
Forum,"2,000","2,000"
Lung King Heen,760,"2,980"
L'Atelier de Joël Robuchon,680,"2,600"
Azurmendi,250,250
Martín Berasategui,220,290
Aponiente,215,215
El Celler de Can Roca,190,350
Quique Dacosta,210,210
Cenador de Amós,197,235
DiverXO,365,365
Arzak,230,260
Akelaŕe,240,240
Lasarte,175,250
ABaC,250,250
L'OSIER,"13,000","44,000"
Sazenka,"34,000","73,000"
Kagurazaka Ishikawa,"43,000","43,000"
Kanda,"37,000","43,000"
L'Effervescence,"34,000","34,000"
Quintessence,"35,000","35,000"
Azabu Kadowaki,"26,000","70,000"
Joël Robuchon,"23,000","54,000"
RyuGin,"49,000","49,000"
Sushi Yoshitake,"38,000","38,000"
Kohaku,"43,000","43,000"
Makimura,"27,000","27,000"
Gaon,"130,000","260,000"
La Yeon,"109,000","280,000"
Dal Pescatore,150,300
Le Calandre,150,225
Reale,170,220
Osteria Francescana,320,320
Da Vittorio,220,380
St. Hubertus,280,310
Enrico Bartolini al Mudec,200,300
Enoteca Pinchiorri,150,345
Piazza Duomo,270,300
Uliassi,200,220
La Pergola,250,290
Taian Table,"1,858","2,188"
Ultraviolet by Paul Pairet,"4,000","8,888"
Kashiwaya,"13,000","43,000"
HAJIME,"40,000","54,000"
Taian,"20,000","20,000"
Isshisoden Nakamura,"26,000","38,000"
Kikunoi Honten,"17,000","64,000"
Gion Sasaki,"8,000","37,000"
Mizai,"50,000","50,000"
Hyotei,"26,000","64,000"
Maeda,"49,000","49,000"
The French Laundry,350,450
SingleThread,375,375
Manresa,325,325
Atelier Crenn,298,298
Benu,350,350
Quince,360,360
Frantzén,"3,800","3,800"
Maaemo,"3,500","3,500"
Geranium,"2,800","2,800"
noma,"2,800","2,800"
Odette,298,378
Les Amis,225,510
Zén,450,450
Le Palais,"5,000","5,000"
Eleven Madison Park,125,285
Per Se,355,355
Masa,595,595
Le Bernardin,93,228
Chef's Table at Brooklyn Fare,395,395
Alinea,210,365
The Inn at Little Washington,238,238
Inter Scaldes,165,380
De Librije,232,232
Restaurant de l'Hôtel de Ville,215,390
Cheval Blanc by Peter Knogl,195,270
Schloss Schauenstein,216,330
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,190,380
Assiette Champenoise,145,335
Les Prés d'Eugénie - Michel Guérard,265,295
Georges Blanc,250,320
La Vague d'Or - Cheval Blanc St-Tropez,310,375
Mirazur,380,380
René et Maxime Meilleur,239,389
Alléno Paris au Pavillon Ledoyen,280,395
Le 1947 - Cheval Blanc,355,395
AM par Alexandre Mazzia,175,385
Pic,350,350
Troisgros - Le Bois sans Feuilles,130,330
Pierre Gagnaire,120,400
Le Pré Catelan,150,330
L'Ambroisie,330,330
Épicure,310,380
Christophe Bacquié,260,295
Maison Lameloise,85,260
Flocons de Sel,210,280
Le Cinq,380,380
Guy Savoy,250,530
Auberge du Vieux Puits,195,225
Arpège,185,460
Kei,85,340
L'Oustau de Baumanière,165,240
Christopher Coutanceau,190,265
Le Petit Nice,180,430
Régis et Jacques Marcon,180,240
Le Clos des Sens,148,238
Zilte,195,330
Hof van Cleve,295,530
Ösch Noir,145,195
ES:SENZ,150,205
Luce d'Oro,189,229
Tohru in der Schreiberei,245,245
OPUS V,109,185
Lorenz Adlon Esszimmer,135,250
Falco,99,262
Söl'ring Hof,214,284
Obendorfers Eisvogel,145,211
etz,210,210
Steinheuers Restaurant Zur Alten Post,155,195
Restaurant Heinz Winkler,105,210
